투자사명,투자단계
블루포인트파트너스,1
블루포인트파트너스,1
마크앤컴퍼니,1
마크앤컴퍼니,1
라구나인베스트먼트,1
라구나인베스트먼트,1
마크앤컴퍼니,1
마크앤컴퍼니,1
마크앤컴퍼니,1
마크앤컴퍼니,1
윤민창의투자재단,1
윤민창의투자재단,1
마크앤컴퍼니,1
마크앤컴퍼니,1
윤민창의투자재단,1
윤민창의투자재단,1
마크앤컴퍼니,2
마크앤컴퍼니,2
윤민창의투자재단,1
윤민창의투자재단,2
윤민창의투자재단,2
매쉬업엔젤스,1
매쉬업엔젤스,2
마크앤컴퍼니,2
마크앤컴퍼니,3
윤민창의투자재단,1
윤민창의투자재단,2
윤민창의투자재단,3
삼성벤처투자,3
삼성벤처투자,3
케이브릿지인베스트먼트,3
케이브릿지인베스트먼트,3
크립톤,2
크립톤,3
마크앤컴퍼니,1
마크앤컴퍼니,1
윤민창의투자재단,1
윤민창의투자재단,1
네이버,1
네이버,1
롯데벤처스,1
롯데벤처스,1
카카오벤처스,1
카카오벤처스,1
마크앤컴퍼니,1
넥스트랜스,1
넥스트랜스,1
미래과학기술지주,1
인포뱅크,1
인포뱅크,1
마크앤컴퍼니,2
마크앤컴퍼니,2
스파크랩,2
스파크랩,2
스파크랩,1
더벤처스,1
더벤처스,2
더벤처스,2
마크앤컴퍼니,3
마크앤컴퍼니,3
윤민창의투자재단,3
윤민창의투자재단,3
카카오벤처스,3
카카오벤처스,2
스트롱벤처스,1
스트롱벤처스,1
스트롱벤처스,1
스트롱벤처스,3
제이비인베스트먼트,3
제이비인베스트먼트,3
아이비케이기업은행,3
아이비케이기업은행,3
인라이트벤처스,3
인라이트벤처스,3
마크앤컴퍼니,2
마크앤컴퍼니,2
씨엔티테크,2
씨엔티테크,1
씨엔티테크,2
마크앤컴퍼니,2
마크앤컴퍼니,2
마크앤컴퍼니,2
퓨처플레이,2
퓨처플레이,2
퓨처플레이,2
베이스인베스트먼트,2
베이스인베스트먼트,2
베이스인베스트먼트,2
한국투자파트너스,2
한국투자파트너스,2
패스트벤처스,2
패스트벤처스,2
윤민창의투자재단,1
윤민창의투자재단,1
뉴패러다임인베스트먼트,1
뉴패러다임인베스트먼트,1
윤민창의투자재단,1
윤민창의투자재단,2
신용보증기금,2
신용보증기금,2
인라이트벤처스,2
인라이트벤처스,2
대경지역대학공동기술지주,2
대경지역대학공동기술지주,2
와이앤아처,1
와이앤아처,2
윤민창의투자재단,1
윤민창의투자재단,1
윤민창의투자재단,1
윤민창의투자재단,1
윤민창의투자재단,2
윤민창의투자재단,2
제이비인베스트먼트,2
제이비인베스트먼트,2
스프링캠프,2
스프링캠프,1
스프링캠프,2
제이비벤처스,2
제이비벤처스,2
에이벤처스,2
에이벤처스,2
윤민창의투자재단,1
윤민창의투자재단,2
소풍벤처스,1
소풍벤처스,2
윤민창의투자재단,1
윤민창의투자재단,1
윤민창의투자재단,1
윤민창의투자재단,1
윤민창의투자재단,1
윤민창의투자재단,1
윤민창의투자재단,1
윤민창의투자재단,1
윤민창의투자재단,1
윤민창의투자재단,1
미래에셋캐피탈,3
미래에셋캐피탈,3
미래에셋캐피탈,3
미래에셋캐피탈,3
미래에셋캐피탈,3
미래에셋캐피탈,3
미래에셋캐피탈,3
미래에셋캐피탈,3
현대자동차,1
현대자동차,1
현대자동차,1
현대자동차,1
현대자동차,1
현대자동차,1
현대자동차,1
현대자동차,1
윤민창의투자재단,1
윤민창의투자재단,1
윤민창의투자재단,1
브이엔티지,2
윤민창의투자재단,1
윤민창의투자재단,1
윤민창의투자재단,1
윤민창의투자재단,1
윤민창의투자재단,1
윤민창의투자재단,1
윤민창의투자재단,1
윤민창의투자재단,1
윤민창의투자재단,1
윤민창의투자재단,1
윤민창의투자재단,1
윤민창의투자재단,1
윤민창의투자재단,5
프라이머,1
프라이머,5
제이비인베스트먼트,3
제이비인베스트먼트,5
은행권청년창업재단,1
은행권청년창업재단,5
더웰스인베스트먼트,3
더웰스인베스트먼트,5
더웰스인베스트먼트,5
유니온투자파트너스,3
유니온투자파트너스,3
유니온투자파트너스,5
비에이파트너스,5
비에이파트너스,5
비하이인베스트먼트,3
비하이인베스트먼트,5
케이클라비스인베스트먼트,3
케이클라비스인베스트먼트,5
디에이밸류인베스트먼트,5
디에이밸류인베스트먼트,5
비에스케이인베스트먼트,5
비에스케이인베스트먼트,5
신한대체투자운용,3
신한대체투자운용,5
신한대체투자운용,5
네오플라이,1
네오플라이,5
윤민창의투자재단,1
스트롱벤처스,2
프라이머,2
프라이머사제파트너스,2
네오플라이,1
윤민창의투자재단,1
롯데벤처스,3
퓨처플레이,1
퓨처플레이,2
퓨처플레이,3
아이엠엠인베스트먼트,3
케이비인베스트먼트,3
신한캐피탈,2
신한캐피탈,3
만도,1
시그나이트파트너스,3
캡스톤파트너스,2
캡스톤파트너스,3
윤민창의투자재단,1
윤민창의투자재단,2
블루포인트파트너스,1
블루포인트파트너스,2
블루포인트파트너스,2
브이엔티지,2
브이엔티지,2
에이치지이니셔티브,2
에이치지이니셔티브,2
윤민창의투자재단,1
윤민창의투자재단,1
스파크랩,1
스파크랩,1
윤민창의투자재단,1
해시드,2
스프링캠프,1
스프링캠프,2
윤민창의투자재단,1
블루포인트파트너스,1
씨엔티테크,1
더인벤션랩,1
윤민창의투자재단,1
윤민창의투자재단,5
인포뱅크,1
인포뱅크,5
위벤처스,5
위벤처스,5
프라이머,1
프라이머,5
아이엠엠인베스트먼트,3
아이엠엠인베스트먼트,5
아이엠엠인베스트먼트,5
두나무앤파트너스,5
두나무앤파트너스,5
소프트뱅크벤처스,5
소프트뱅크벤처스,5
소프트뱅크벤처스,5
넥스트지인베스트먼트,5
넥스트지인베스트먼트,3
캡스톤파트너스,5
캡스톤파트너스,5
캡스톤파트너스,2
아이디벤처스,3
아이디벤처스,5
씨제이이엔엠,5
씨제이이엔엠,5
(구)넥스트지인베스트먼트,5
(구)넥스트지인베스트먼트,5
윤민창의투자재단,1
윤민창의투자재단,3
스마일게이트인베스트먼트,3
스마일게이트인베스트먼트,3
제이비인베스트먼트,3
제이비인베스트먼트,3
신용보증기금,3
신용보증기금,1
뉴패러다임인베스트먼트,2
뉴패러다임인베스트먼트,3
뉴패러다임인베스트먼트,3
에이치지이니셔티브,3
에이치지이니셔티브,3
윤민창의투자재단,1
윤민창의투자재단,3
퓨처플레이,3
퓨처플레이,3
대경지역대학공동기술지주,1
대경지역대학공동기술지주,3
캡스톤파트너스,2
캡스톤파트너스,3
윤민창의투자재단,1
윤민창의투자재단,3
더인벤션랩,3
더인벤션랩,3
더인벤션랩,1
네오플라이,1
네오플라이,3
윤민창의투자재단,1
윤민창의투자재단,5
하나벤처스,3
하나벤처스,5
디에스씨인베스트먼트,5
디에스씨인베스트먼트,5
신한대체투자운용,3
신한대체투자운용,5
신한대체투자운용,5
신한벤처투자,5
신한벤처투자,5
엔베스터,5
엔베스터,5
엔베스터,3
윤민창의투자재단,1
윤민창의투자재단,1
에스오피오오엔지,1
에스오피오오엔지,1
윤민창의투자재단,1
윤민창의투자재단,2
디쓰리쥬빌리파트너스,2
디쓰리쥬빌리파트너스,2
윤민창의투자재단,1
윤민창의투자재단,3
아이비케이기업은행,2
아이비케이기업은행,3
씨엔티테크,2
씨엔티테크,3
중소벤처기업진흥공단,3
중소벤처기업진흥공단,3
김기사랩,3
김기사랩,1
유진증권,2
